time_1,time_2,time_3,time_4,temp_1,temp_2,temp_3,temp_4,Cold Object
1980.0,5.0,10.0,15.0,66.28,66.28,66.89,66.95,Meat
1680.0,16.0,32.0,48.0,31.66,32.04,32.1,32.61,FruitJuice
160.0,18.0,36.0,54.0,13.66,13.77,14.085,14.18,ICECREAM
1550.0,15.0,30.0,45.0,79.41,79.53,79.56,79.63,Aluminium
870.0,8.0,16.0,24.0,43.5,43.7,44.2,44.2,Water
1080.0,12.0,24.0,36.0,74.54,74.55,74.65,75.03,Aluminium
1670.0,9.0,18.0,27.0,70.4,70.47,70.66,70.72,ICECREAM
580.0,15.0,30.0,45.0,73.1,73.73,73.9,74.25,Medicine
1050.0,13.0,26.0,39.0,42.6,42.79,42.97,43.76,Apple
730.0,10.0,20.0,30.0,38.36,38.45,38.59,39.02,CoolDrink
1370.0,15.0,30.0,45.0,38.63,38.74,38.94,39.05,CoolDrink
270.0,9.0,18.0,27.0,14.645,14.755,14.785,14.795,ICECREAM
2560.0,9.0,18.0,27.0,58.9,59.1,59.3,59.5,Water
740.0,5.0,10.0,15.0,38.45,38.45,38.59,38.59,CoolDrink
3170.0,12.0,24.0,36.0,82.25,82.28,82.28,82.28,Meat
1530.0,10.0,20.0,30.0,76.2,76.24,76.41,76.46,Copper
1320.0,16.0,32.0,48.0,77.73,77.77,77.8,77.9,Aluminium
540.0,11.0,22.0,33.0,22.34,22.42,22.46,22.93,Apple
780.0,10.0,20.0,30.0,19.63,19.73,19.82,20.165,ICECREAM
480.0,11.0,22.0,33.0,65.1,65.21,65.25,65.27,Copper
160.0,12.0,24.0,36.0,42.61,42.64,42.71,43.12,Meat
1010.0,9.0,18.0,27.0,67.85,67.89,67.91,68.12,Iron
2550.0,5.0,10.0,15.0,85.11,85.18,85.18,85.24,Iron
2570.0,15.0,30.0,45.0,85.24,85.56,85.65,85.78,Iron
1980.0,18.0,36.0,54.0,44.94,45.14,45.35,45.45,CoolDrink
1450.0,17.0,34.0,51.0,37.83,38.05,38.06,38.15,FruitJuice
620.0,19.0,38.0,57.0,43.7,43.8,44.2,44.5,Water
2020.0,17.0,34.0,51.0,62.77,63.29,63.7,63.84,CoolDrink
810.0,18.0,36.0,54.0,22.17,22.55,22.87,22.88,FruitJuice
2070.0,12.0,24.0,36.0,46.9,46.9,47.7,47.5,Water
2170.0,13.0,26.0,39.0,34.52,34.705,34.94,35.085,ICECREAM
4160.0,6.0,12.0,18.0,67.46,67.57,67.57,67.67,CoolDrink
850.0,14.0,28.0,42.0,20.61,20.685,20.945,21.085,ICECREAM
3140.0,20.0,40.0,60.0,66.9,67.34,68.1,68.68,FruitJuice
3150.0,15.0,30.0,45.0,75.6,74.4,74.6,75.1,Water
1820.0,12.0,24.0,36.0,81.67,81.94,82.17,82.29,Aluminium
60.0,12.0,24.0,36.0,34.6,34.6,34.8,35.1,Water
60.0,10.0,20.0,30.0,20.3,20.8,21.9,23.4,Water
1440.0,5.0,10.0,15.0,37.59,37.59,37.83,37.83,FruitJuice
500.0,7.0,14.0,21.0,62.38,62.45,62.45,62.59,Iron
1090.0,5.0,10.0,15.0,29.45,29.45,29.64,29.64,FruitJuice
